Time,measurement1.Three-phase Meter1.POWER_Q,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.POWER_Q,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.POWER_Q,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0,2.9839854,469.91644,-1.8061292,466.5021,-1.80193,465.96756,0.0028975795,0.00025930934,0.0028782922,0.00018075098,0.0027769667,0.00033077132
0.01,2.9111893,469.91644,-1.8088919,466.5021,-1.8046812,465.96756,0.0036355,0.00059349096,0.0036869894,0.00054092566,0.0035798252,0.00066741253
0.02,2.8530786,470.07883,-1.8091271,466.6605,-1.8049222,466.12582,0.0033752476,0.0015015919,0.003438287,0.0014554966,0.0033589695,0.0015704504
0.03,2.8927338,470.07883,-1.8081113,466.6605,-1.803909,466.12582,0.0024755981,0.001453716,0.0026200695,0.0014448328,0.002557146,0.0015756951
0.04,2.9782705,470.09146,-1.8089538,466.67584,-1.8047462,466.1413,0.0022295497,0.000662069,0.002299938,0.00057428924,0.0022214237,0.00072863366
0.05,2.9874387,470.06033,-1.8080751,466.6458,-1.8038766,466.11127,0.0029175207,0.00020771219,0.0029001196,0.00013392272,0.0027968215,0.00028416803
0.06,2.9094522,470.06033,-1.8079766,466.6458,-1.8037722,466.11127,0.0036150713,0.00069196004,0.0036687818,0.00054085016,0.003559957,0.00066735264
0.07,2.8515077,470.00345,-1.8082225,466.59378,-1.8040184,466.0593,0.003350372,0.0014844713,0.0034150758,0.0014384749,0.0033340312,0.0015534314
0.08,2.892419,470.00345,-1.8079213,466.59378,-1.8037199,466.0593,0.0024667748,0.0014515122,0.0026131866,0.0014421575,0.0025486283,0.0015730122
0.09,2.9773617,470.02286,-1.8084363,466.6052,-1.80423,466.07062,0.0022204986,0.0006668666,0.0022923169,0.00057905697,0.002212258,0.00073341763
0.1,2.9874256,469.96292,-1.8078235,466.5501,-1.8036329,466.01553,0.0028775684,0.00024404415,0.0028611147,0.00017170045,0.0027564906,0.00032166697
0.11,2.9079738,469.96292,-1.8072013,466.5501,-1.8030022,466.01553,0.0036012197,0.00069198315,0.0036554567,0.00054273044,0.0035450566,0.00066942535
0.12,2.854123,470.04495,-1.8096598,466.62897,-1.805452,466.09442,0.0033742257,0.0014808051,0.003440243,0.0014345014,0.0033576468,0.0015497226
0.13,2.892407,470.04495,-1.8080032,466.62897,-1.8038025,466.09442,0.002568557,0.0015223605,0.0026211806,0.0014562752,0.0025554313,0.0015874266
0.14,2.9776433,470.0849,-1.8086696,466.66797,-1.8044641,466.13333,0.0022202595,0.00066997035,0.0022930696,0.00058189576,0.0022118671,0.0007365654
0.15,2.9875789,470.0849,-1.8080617,466.66797,-1.803861,466.13333,0.0029091288,0.00021651444,0.002893934,0.00014303511,0.0027878976,0.00029362115
0.16,2.910282,470.02783,-1.8083289,466.6153,-1.8041261,466.08066,0.0036185975,0.00069168245,0.0036745893,0.0005405297,0.0035629377,0.00066747813
0.17,2.852433,470.0645,-1.8086604,466.64752,-1.8044543,466.11282,0.0033574952,0.0014981866,0.003424023,0.0014520338,0.003340471,0.0015674202
0.18,2.8918765,470.0645,-1.8076501,466.64752,-1.8034492,466.11282,0.0025566497,0.0015365221,0.0026085924,0.0014707024,0.0025420496,0.0016019533
0.19,2.9774008,470.00266,-1.8085229,466.58337,-1.8043171,466.0487,0.0022167221,0.0006803276,0.0022886863,0.00059261505,0.0022066424,0.00074743293
0.2,2.9878826,470.00266,-1.8081948,466.58337,-1.8039933,466.0487,0.002799097,0.0002258045,0.0028951634,0.0001471445,0.0027882378,0.00029784816
0.21,2.9102945,470.04333,-1.8082433,466.6251,-1.8040411,466.0904,0.0036179249,0.0007065032,0.00367276,0.00055546465,0.0035602434,0.0006824279
0.22,2.8519616,470.0451,-1.8084453,466.62622,-1.8042394,466.09155,0.0033588412,0.0014976487,0.0034246142,0.001451679,0.0033402455,0.0015671679
0.23,2.8921902,470.0451,-1.8079758,466.62622,-1.8037752,466.09155,0.0025734412,0.0015196389,0.0026247334,0.0014539708,0.00255738,0.0015854388
0.24,2.9778137,470.05038,-1.8087938,466.62964,-1.8045882,466.095,0.002225512,0.00067593146,0.0022966366,0.0005880844,0.0022138301,0.00074300065
0.25,2.9872262,470.05038,-1.8078213,466.62964,-1.803621,466.095,0.0029026587,0.00021880791,0.002885883,0.00014601552,0.0027782705,0.000296712
0.26,2.910121,470.01016,-1.8080388,466.59235,-1.8038367,466.0578,0.0036147723,0.00070564495,0.0036687194,0.00055418117,0.003555466,0.0006810879
0.27,2.8510356,470.01016,-1.8079298,466.59235,-1.8037249,466.0578,0.0033585727,0.0015043782,0.0034235818,0.001458469,0.0033386368,0.0015737871
0.28,2.8929765,470.00983,-1.8083693,466.59418,-1.8041546,466.0596,0.0025740147,0.0015282764,0.0026246237,0.0014625696,0.0025568104,0.00159383
0.29,2.9772136,470.05713,-1.8085093,466.63657,-1.8043056,466.102,0.0022299255,0.00068787194,0.002300564,0.0006001023,0.0022172672,0.0007549397
0.3,2.9884398,470.05713,-1.8084612,466.63657,-1.8042585,466.102,0.0029223075,0.00021983405,0.002905002,0.000140865,0.0027968397,0.00029156322
0.31,2.910846,470.07242,-1.8084085,466.65295,-1.8042064,466.1184,0.0036265012,0.0006009509,0.0036802997,0.00054834306,0.0035665499,0.0006752397
0.32,2.8517318,470.07242,-1.8083011,466.65295,-1.804096,466.1184,0.0033632093,0.0014943227,0.0034276806,0.0014481675,0.0033423516,0.0015634984
0.33,2.8924031,470.0476,-1.8081447,466.62555,-1.8039421,466.09103,0.0025719493,0.0015230228,0.0026220423,0.0014570387,0.0025539957,0.0015883327
0.34,2.97683,470.01788,-1.8083451,466.60544,-1.8041418,466.07092,0.0022205221,0.00068547967,0.0022905148,0.0005974031,0.0022071144,0.0008536093
0.35,2.9875627,470.01788,-1.807934,466.60544,-1.8037322,466.07092,0.002908031,0.00022880653,0.0028902385,0.00014967448,0.00278192,0.00030034466
0.36,2.9104083,470.0179,-1.8081228,466.60596,-1.8039213,466.0714,0.0035732428,0.00060443365,0.0036683485,0.00055166724,0.0035544238,0.00067849
0.37,2.8523147,470.0179,-1.8085781,466.60596,-1.804372,466.0714,0.0033638023,0.0015002257,0.0034278878,0.0014540538,0.003342864,0.0015692938
0.38,2.8918023,470.05035,-1.8077427,466.63354,-1.8035408,466.0989,0.002552846,0.0015527835,0.0026025954,0.0014868724,0.0025360638,0.0016177583
0.39,2.975973,470.05035,-1.8078238,466.63354,-1.8036325,466.0989,0.0022083481,0.0007015015,0.0022780693,0.0006136714,0.0021962519,0.00076814526
0.4,2.988456,469.93427,-1.8084481,466.5199,-1.804247,465.9854,0.0029223268,0.00022685844,0.002903722,0.0001477467,0.002796864,0.0002982528
0.41,2.9117975,470.10736,-1.8089098,466.6919,-1.8047054,466.15714,0.0036392685,0.00059933687,0.0036917683,0.00054650416,0.0035791413,0.00067324383
0.42,2.851959,470.10736,-1.8084303,466.6919,-1.8042258,466.15714,0.0033723877,0.0015021798,0.0034362285,0.0014560794,0.0033524309,0.0015710662
0.43,2.89225,470.0453,-1.8082097,466.63254,-1.8040056,466.0978,0.0025796678,0.001521738,0.0026291476,0.001455851,0.0025635283,0.0015866291
0.44,2.9777892,470.0453,-1.8089578,466.63254,-1.8047534,466.0978,0.0022356464,0.0006765166,0.0023050662,0.0005886482,0.0022243299,0.0007430255
0.45,2.9880226,470.0813,-1.8081858,466.66772,-1.8039837,466.13297,0.0029138143,0.00021439751,0.0028954905,0.00014162948,0.0027899696,0.00029198927
0.46,2.9106653,470.0813,-1.8081207,466.66772,-1.8039181,466.13297,0.0036152706,0.00070037006,0.0036670803,0.0005490835,0.0035558636,0.0006756902
0.47,2.8516877,470.02145,-1.808238,466.60712,-1.8040333,466.07242,0.0033610135,0.0014958887,0.003424639,0.0014499251,0.0033419295,0.0015647954
0.48,2.8924887,470.0347,-1.8083508,466.61942,-1.8041472,466.08472,0.0025865822,0.0015177609,0.0026358285,0.0014519203,0.0025711353,0.0015825802
0.49,2.9775307,470.0347,-1.8088607,466.61942,-1.8046558,466.08472,0.002230852,0.0006760922,0.0022999477,0.0005881207,0.0022202733,0.0007423621
0.5,2.9876866,470.05716,-1.8079357,466.646,-1.8037348,466.11136,0.0029096338,0.00022505909,0.0028913077,0.00014580156,0.0027868159,0.00029613829
0.51,2.911073,470.05716,-1.8082476,466.646,-1.8040444,466.11136,0.0036168143,0.0006067211,0.0036684475,0.0005537968,0.0035581705,0.0006804539
0.52,2.8519926,470.02692,-1.8083509,466.6055,-1.8041456,466.07086,0.0033637946,0.0015025632,0.003427058,0.0014563793,0.0033451293,0.001571271
0.53,2.8917139,470.0202,-1.8079202,466.60797,-1.8037175,466.0734,0.0024776412,0.0014860987,0.002622213,0.001476339,0.002558326,0.0016069068
0.54,2.976829,470.0202,-1.8084536,466.60797,-1.8042485,466.0734,0.002221761,0.00068867183,0.00229061,0.00060058665,0.0022116867,0.0007549097
0.55,2.9880195,470.0332,-1.8080885,466.61374,-1.8038877,466.0792,0.0027996092,0.00022585996,0.002892618,0.00014652834,0.0027888373,0.0002970794
0.56,2.910669,470.0332,-1.8080782,466.61374,-1.8038753,466.0792,0.0036151337,0.00059781835,0.0036662929,0.00054480374,0.0035566355,0.0006717497
0.57,2.8519447,470.01913,-1.8084366,466.6084,-1.8042319,466.07388,0.0033708427,0.0014905935,0.0034340757,0.001444375,0.0033526693,0.0015595735
0.58,2.8926775,470.01913,-1.808541,466.6084,-1.8043375,466.07388,0.002491915,0.0014654378,0.0026360988,0.0014550809,0.0025725625,0.0015859478
0.59,2.9767396,470.07886,-1.8085023,466.65933,-1.804298,466.1248,0.0022232856,0.0006840499,0.0022919704,0.0005957992,0.0022134783,0.0007502606
0.6,2.988171,470.0302,-1.808167,466.61694,-1.8039658,466.08243,0.0028023114,0.00022330333,0.0028952328,0.00014390194,0.0027917905,0.00029460774
0.61,2.9110794,470.0302,-1.8082589,466.61694,-1.8040558,466.08243,0.0036254337,0.00069385016,0.0036767346,0.00054290047,0.0035674055,0.0006699576
0.62,2.852414,470.064,-1.8086252,466.64688,-1.8044194,466.11234,0.003370389,0.0014815816,0.0034335274,0.001435343,0.003352537,0.0015505807
0.63,2.8919425,470.064,-1.8081664,466.64688,-1.803965,466.11234,0.0024849586,0.0015296355,0.0026294957,0.0014635435,0.002566453,0.0015944632
0.64,2.9764688,470.04083,-1.8083651,466.62595,-1.8041607,466.0914,0.0022208295,0.00068689516,0.0022894063,0.0005988144,0.0022113621,0.0007533698
0.65,2.988797,470.05414,-1.8084818,466.6348,-1.8042804,466.1002,0.0028054435,0.00022080327,0.002898138,0.00014130204,0.0027951768,0.00029209998
0.66,2.9110239,470.05414,-1.8081867,466.6348,-1.8039839,466.1002,0.0036209493,0.00058913825,0.0036720876,0.00053613156,0.0035632583,0.00066331966
0.67,2.8522427,470.04663,-1.8084774,466.6292,-1.8042717,466.0946,0.0033684107,0.0014965786,0.0034314892,0.0014503447,0.0033510502,0.0015655675
0.68,2.8913438,470.04663,-1.8078638,466.6292,-1.803662,466.0946,0.0024818417,0.0014778469,0.0026263753,0.0014677813,0.002563749,0.001598732
0.69,2.9767187,470.0211,-1.8085248,466.60712,-1.8043202,466.07248,0.0022259029,0.0006835433,0.0022943465,0.00059549825,0.0022166453,0.0007502379
0.7,2.9887376,470.0211,-1.8083236,466.60712,-1.8041209,466.07248,0.0027965624,0.00023363835,0.0028891226,0.00015413582,0.0027865614,0.00030496632
0.71,2.9090872,470.0378,-1.8069909,466.62173,-1.8027915,466.08704,0.0035611165,0.000621999,0.0036550101,0.0005692532,0.003546639,0.0006963536
0.72,2.8522818,469.97116,-1.8085145,466.5551,-1.8043059,466.02048,0.003374577,0.0014936922,0.0034375507,0.001447618,0.003357356,0.0015628956
0.73,2.8924825,469.97116,-1.8085709,466.5551,-1.8043685,466.02048,0.0025039758,0.0014764175,0.002648516,0.0014662233,0.0025861384,0.001597293
0.74,2.9769087,470.10568,-1.808688,466.68332,-1.804483,466.1486,0.0022288936,0.00069255976,0.0022971511,0.0006046489,0.0022197808,0.000759451
0.75,2.9879894,470.10568,-1.8080126,466.68332,-1.803811,466.1486,0.0027984877,0.0002200913,0.0028909566,0.00014095145,0.0027886129,0.00029197102
0.76,2.9116373,470.02475,-1.80845,466.61017,-1.8042487,466.07553,0.0036324065,0.00067553914,0.0036825216,0.0005247971,0.003574257,0.0006521154
0.77,2.8529444,470.0808,-1.808979,466.66574,-1.8047704,466.13107,0.0033826411,0.0014750275,0.0034455864,0.001429114,0.0033657874,0.0015445699
0.78,2.891134,470.0808,-1.8079244,466.66574,-1.8037258,466.13107,0.0024903228,0.0014666887,0.0026348776,0.0014564308,0.002572899,0.0015876334
0.79,2.976795,470.02975,-1.8086215,466.61395,-1.8044157,466.07938,0.002227155,0.00067459786,0.002295362,0.0005868518,0.0022183002,0.0007418005
0.8,2.987898,470.02975,-1.8079439,466.61395,-1.8037431,466.07938,0.0027869453,0.0002185559,0.0028793088,0.00013952996,0.0027775161,0.00029059555
0.81,2.9105284,470.01993,-1.8077948,466.60355,-1.8035948,466.06903,0.0036116058,0.00058043445,0.0036613287,0.00052777823,0.003553603,0.00065513526
0.82,2.8524022,470.01993,-1.8086033,466.60355,-1.8043958,466.06903,0.0033764455,0.0014827328,0.003439225,0.0014368686,0.0033598149,0.0015522939
0.83,2.8919358,470.02588,-1.8083165,466.6123,-1.8041154,466.07773,0.002495072,0.0015265403,0.0026391563,0.001461016,0.0025775095,0.0015921626
0.84,2.9767678,470.06754,-1.8086828,466.64862,-1.8044777,466.1141,0.002231686,0.00068459625,0.0022998194,0.00059681345,0.002223129,0.00075172354
0.85,2.988672,470.06754,-1.8083255,466.64862,-1.804123,466.1141,0.0027997813,0.00022242132,0.002892084,0.00014317746,0.0027905437,0.00029423556
0.86,2.9114256,470.05438,-1.8082296,466.63766,-1.8040286,466.10312,0.0036236278,0.0006934148,0.003673814,0.00054295355,0.0035663205,0.00067025516
0.87,2.8522134,470.05438,-1.808499,466.63766,-1.8042916,466.10312,0.0033767072,0.0014874812,0.0034396804,0.0014413485,0.0033604668,0.0015567221
0.88,2.892044,470.05075,-1.8083949,466.63528,-1.8041931,466.10077,0.0025870092,0.0015443627,0.0026355207,0.00147867,0.0025740676,0.001609608
0.89,2.9755032,470.05075,-1.8080158,466.63528,-1.8038137,466.10077,0.002219724,0.0007066121,0.0022877487,0.0006186588,0.0022113759,0.0007733914
0.9,2.988248,470.02228,-1.8080587,466.60663,-1.8038568,466.07214,0.0027904348,0.00023498356,0.0028827407,0.00015565683,0.0027815343,0.00030656494
0.91,2.9118984,470.04196,-1.8084606,466.62906,-1.804259,466.09445,0.0036237177,0.00068568124,0.0036736059,0.00053554046,0.0035662106,0.0006628427
0.92,2.852965,470.04196,-1.8089116,466.62906,-1.8047043,466.09445,0.0033827247,0.001486253,0.0034456835,0.0014400856,0.0033665274,0.0015553773
0.93,2.8913343,470.08066,-1.8081082,466.66898,-1.803906,466.1343,0.0024880324,0.0014783418,0.002633152,0.0014673809,0.0025717914,0.0015981884
0.94,2.9765232,470.08066,-1.808591,466.66898,-1.8043871,466.1343,0.0022278992,0.00068537396,0.0022959267,0.0005973474,0.0021952707,0.00085400604
0.95,2.989164,470.04666,-1.8086036,466.63394,-1.8044002,466.09924,0.002804597,0.00021966282,0.0028968796,0.00014027399,0.002795683,0.00029113243
0.96,2.911716,470.0745,-1.8082682,466.66037,-1.8040662,466.12567,0.0036191656,0.00059146184,0.003669295,0.0005382788,0.0035620942,0.000665387
0.97,2.8518076,470.0745,-1.8082501,466.66037,-1.8040447,466.12567,0.0033710308,0.0014876776,0.0034338874,0.0014416103,0.0033547976,0.0015565712
0.98,2.8919873,470.03632,-1.8085005,466.62012,-1.8042963,466.0854,0.002495055,0.0014722258,0.0026392483,0.0014615937,0.0025779356,0.0015920361
0.99,2.976322,470.03632,-1.808507,466.62012,-1.8043039,466.0854,0.0022221052,0.0006927325,0.0022900868,0.00060486473,0.0022140662,0.00075904425
1.0,2.9879224,470.03476,-1.8078654,466.62253,-1.8036636,466.0879,0.0027853765,0.0002215936,0.0028774887,0.00014214264,0.002776597,0.0002926703
1.01,2.9124813,470.03476,-1.8085414,466.62253,-1.8043392,466.0879,0.0036206876,0.00060388487,0.0036705297,0.0005506581,0.0035634374,0.0006774339
1.02,2.8520467,470.04025,-1.8083311,466.62595,-1.8041254,466.09125,0.0033708187,0.0014939255,0.0034336308,0.0014479299,0.00335458,0.0015625728
1.03,2.8913925,470.04224,-1.808214,466.62512,-1.8040112,466.09045,0.0024939463,0.0015252697,0.002637867,0.0014596654,0.0025765812,0.0015898392
1.04,2.9770489,470.04224,-1.8089064,466.62512,-1.804701,466.09045,0.002224478,0.00069438503,0.0022924494,0.0006065445,0.0022164588,0.00086206995
1.05,2.9880886,470.06894,-1.8079153,466.64902,-1.8037144,466.11435,0.0027858193,0.0002305599,0.0028780762,0.00015113706,0.002777219,0.00030149592
1.06,2.9120212,470.06894,-1.808325,466.64902,-1.8041224,466.11435,0.003614219,0.0005885323,0.0036640207,0.00053533353,0.0035568387,0.00066210836
1.07,2.852275,470.02808,-1.8084924,466.61188,-1.8042868,466.0773,0.0033717589,0.0014860899,0.0034341193,0.0014400672,0.0033555178,0.0015546869
1.08,2.8909698,470.04065,-1.8080618,466.62772,-1.80386,466.09317,0.0024914525,0.0014709964,0.0026341425,0.0014601351,0.0025743358,0.0015903119
1.09,2.9764867,470.04065,-1.8086759,466.62772,-1.8044713,466.09317,0.0022172146,0.0006917547,0.00228337,0.00060392224,0.002209068,0.00075791555
1.1,2.987976,470.02896,-1.8078218,466.61566,-1.8036213,466.0812,0.002776498,0.00022748984,0.0028668058,0.0001480145,0.0027676383,0.00029852445
1.11,2.9119074,470.02896,-1.8081658,466.61566,-1.803964,466.0812,0.0036041078,0.00060417206,0.0036524215,0.00055110414,0.003547013,0.0006779392
1.12,2.8515315,469.99542,-1.808072,466.5838,-1.8038665,466.04932,0.0033672787,0.0014947489,0.0034285136,0.0014487772,0.003351554,0.001563596
1.13,2.8913856,469.99542,-1.8081791,466.5838,-1.8039763,466.04932,0.002475838,0.0014907202,0.002618319,0.0014802571,0.0025600684,0.0016104614
1.14,2.9760203,470.0115,-1.8084319,466.5944,-1.8042259,466.05984,0.0022183852,0.00069477246,0.002284857,0.0006068888,0.0022118539,0.00076119095
1.15,2.9895234,470.07828,-1.8086797,466.66223,-1.8044779,466.12762,0.0027972707,0.00022699028,0.0028880662,0.00014756025,0.0027902008,0.0002984503
1.16,2.912371,470.07828,-1.8085119,466.66223,-1.8043069,466.12762,0.0036249298,0.0005764359,0.0036728359,0.0005232332,0.0035687112,0.0006506061
1.17,2.8535917,470.114,-1.8092391,466.6977,-1.8050331,466.16302,0.003387067,0.0014717119,0.003448653,0.0014255969,0.0033729514,0.0015407912
1.18,2.8908653,470.114,-1.8081402,466.6977,-1.8039378,466.16302,0.0024934108,0.0014626131,0.0026372308,0.0014511779,0.0025800392,0.0015819744
1.19,2.976903,470.08234,-1.8089695,466.66873,-1.8047637,466.13412,0.002220904,0.00068460306,0.00228766,0.0005966874,0.0022158455,0.0007513181
1.2,2.9882827,470.05814,-1.8079916,466.64014,-1.8037913,466.1055,0.0027811779,0.00021629306,0.0028722058,0.00013675615,0.002775478,0.00028787417
1.21,2.9125566,470.05814,-1.8084583,466.64014,-1.8042539,466.1055,0.0036123847,0.0005804525,0.0036610456,0.0005273124,0.0035581088,0.0006547487
1.22,2.8516738,470.05054,-1.8081701,466.62903,-1.8039659,466.09433,0.0033700785,0.001487245,0.0034320452,0.0014411953,0.0033575017,0.001556407
1.23,2.8913476,470.05054,-1.8083496,466.62903,-1.8041456,466.09433,0.002490303,0.0014664376,0.0026334918,0.0014554295,0.0025772143,0.0015862386
1.24,2.9763532,470.06302,-1.8087289,466.6419,-1.804524,466.10718,0.0022159365,0.00068949605,0.0022829084,0.00060157385,0.0022119607,0.00075631606
1.25,2.9883647,470.06302,-1.8079749,466.6419,-1.803774,466.10718,0.002885947,0.00021251313,0.0028652335,0.00014146064,0.0027693924,0.00029263782
1.26,2.9120872,470.01614,-1.8081532,466.60446,-1.8039498,466.06976,0.0035610695,0.00057855085,0.0036538076,0.00052521186,0.0035517893,0.0006527003
1.27,2.8527827,470.0437,-1.8086957,466.6286,-1.8044897,466.0939,0.0033727777,0.0014812014,0.0034349489,0.0014351365,0.003361233,0.0015504025
1.28,2.890304,470.0437,-1.8078392,466.6286,-1.8036382,466.0939,0.0024847947,0.001532971,0.0026293092,0.0014673896,0.0025738697,0.0015981626
1.29,2.9762242,470.02213,-1.8086164,466.6088,-1.804411,466.07416,0.0022106702,0.0006953242,0.002277742,0.0006073343,0.002207646,0.00076203287
1.3,2.989455,470.02213,-1.808567,466.6088,-1.8043652,466.07416,0.002892637,0.00021161207,0.0028723388,0.00013185268,0.0027772884,0.0002830127
1.31,2.912247,470.0797,-1.8081398,466.65933,-1.803938,466.12463,0.003603823,0.00059305906,0.0036527852,0.0005398678,0.0035517146,0.00066717505
1.32,2.8513024,470.0797,-1.8078724,466.65933,-1.8036668,466.12463,0.0033636242,0.0014949061,0.003425995,0.001449006,0.0033531152,0.0015639828
1.33,2.8912492,469.9878,-1.8084494,466.57443,-1.8042469,466.0399,0.0025018188,0.0014888564,0.0026461347,0.0014777255,0.002591355,0.0016082521
1.34,2.9764128,470.0996,-1.8089112,466.678,-1.8047056,466.14334,0.0022294237,0.0006865909,0.0022966166,0.00059851876,0.0022270898,0.00075314956
1.35,2.9896417,470.0996,-1.8086656,466.678,-1.8044637,466.14334,0.0027874317,0.00021022533,0.0028789064,0.00013062118,0.0027845525,0.0002817238
1.36,2.9126203,470.09024,-1.8084155,466.67123,-1.804213,466.13666,0.0036147619,0.0006745929,0.0037056804,0.0005242172,0.0035630576,0.0006515495
1.37,2.8525763,470.09024,-1.8086519,466.67123,-1.8044453,466.13666,0.0033740324,0.001473934,0.0034365354,0.0014280365,0.0033635711,0.0015430409
1.38,2.8908072,470.05515,-1.8082991,466.64175,-1.8040979,466.1072,0.0024956437,0.0014630995,0.0026403381,0.0014515115,0.0025844215,0.0015821145
1.39,2.9760776,470.0648,-1.8086588,466.6483,-1.8044537,466.11377,0.0022158271,0.00069339713,0.002283159,0.000605641,0.0022125314,0.00076011126
1.4,2.9879012,470.0648,-1.8075957,466.6483,-1.803396,466.11377,0.0028725448,0.00022571303,0.0028526126,0.00015495844,0.0027571465,0.0003058623
1.41,2.9121883,469.97595,-1.8079739,466.55783,-1.803774,466.0234,0.0035847889,0.0006070743,0.0036320935,0.000554132,0.0035303966,0.00068119285
1.42,2.851954,469.97595,-1.8082653,466.55783,-1.80406,466.0234,0.0033654417,0.001491506,0.0034282932,0.0014457756,0.0033540311,0.0015606238
1.43,2.8916593,470.0416,-1.808779,466.6248,-1.8045774,466.09024,0.0025011338,0.0014797342,0.0026457356,0.0014673276,0.0025886653,0.0015976725
1.44,2.975446,470.0416,-1.8083923,466.6248,-1.8041888,466.09024,0.002215627,0.00071372587,0.0022830444,0.00062623393,0.0022114217,0.00078048906
1.45,2.9893346,470.0695,-1.8084495,466.65836,-1.8042479,466.12384,0.0027841558,0.00022464246,0.002875912,0.00014542943,0.002779275,0.00029632132
1.46,2.913526,470.09824,-1.808829,466.6823,-1.8046243,466.14758,0.00361976,0.0005801754,0.0036687884,0.0005272618,0.0035657065,0.00065454683
1.47,2.8526134,470.09824,-1.8086402,466.6823,-1.804434,466.14758,0.00337741,0.0014843264,0.0034403158,0.0014387547,0.0033649234,0.0015536062
1.48,2.890492,470.058,-1.8081274,466.64185,-1.8039246,466.10718,0.0024834464,0.0015421545,0.0026289886,0.0014772182,0.0025711379,0.0016073502
1.49,2.9755263,470.058,-1.8084381,466.64185,-1.8042332,466.10718,0.0022080578,0.0006985326,0.0022754057,0.0006109142,0.0022029974,0.00076508295
1.5,2.9892333,470.0353,-1.8083335,466.62198,-1.8041322,466.08725,0.0028883659,0.00021561797,0.0028684016,0.00014523714,0.0027710837,0.00029607245
1.51,2.913013,470.07306,-1.808442,466.6563,-1.8042378,466.12158,0.0036096685,0.0006730394,0.0036581408,0.00052305026,0.0035542783,0.0006502963
1.52,2.8526447,470.07306,-1.8086658,466.6563,-1.8044602,466.12158,0.0033749288,0.0014723698,0.0034379133,0.0014267244,0.003361653,0.001541553
1.53,2.8904343,470.04932,-1.8081048,466.63474,-1.8039016,466.1,0.002483184,0.001483546,0.0026284398,0.0014721061,0.0025697812,0.001602156
1.54,2.9757717,470.04932,-1.8086017,466.63474,-1.8043969,466.1,0.002211713,0.0006986069,0.0022791985,0.0006109911,0.0022060021,0.0008674488
1.55,2.9890246,470.04965,-1.8082188,466.63016,-1.8040179,466.09543,0.0027723857,0.00022505756,0.0028642493,0.00014570821,0.002766137,0.00029649824
1.56,2.913236,470.04965,-1.8084829,466.63016,-1.804278,466.09543,0.0036093649,0.0006772169,0.003657865,0.0005273151,0.0035530904,0.00065457035
1.57,2.8531427,470.0623,-1.8089333,466.64423,-1.8047278,466.1095,0.003379729,0.001470835,0.003442759,0.001425254,0.0033656214,0.0015401209
1.58,2.8906004,470.08383,-1.8082548,466.66696,-1.8040515,466.13232,0.002584448,0.0015298496,0.0026326987,0.001464833,0.0025732818,0.0015949039
1.59,2.975603,470.08383,-1.8085338,466.66696,-1.8043294,466.13232,0.0022092774,0.0006920686,0.002276742,0.0006044404,0.0022028547,0.00086072134
1.6,2.9892983,470.04852,-1.8083466,466.62802,-1.8041455,466.0934,0.0027723012,0.00021611032,0.0028641776,0.00013656837,0.0027653011,0.00028746316
1.61,2.9128923,470.04852,-1.808273,466.62802,-1.8040699,466.0934,0.0035995077,0.00057691394,0.0036483526,0.0005235786,0.003542944,0.0006508633
1.62,2.8523753,470.04245,-1.8084649,466.62927,-1.8042601,466.09473,0.0033663611,0.0014759746,0.0034294524,0.0014302403,0.0033517117,0.001545057
1.63,2.8900268,470.03665,-1.8080021,466.622,-1.8038003,466.0875,0.0025834867,0.0015274225,0.0026317406,0.0014622406,0.002571822,0.0015924106
1.64,2.975552,470.03665,-1.8085363,466.622,-1.8043317,466.0875,0.0022002542,0.0007098243,0.0022676713,0.00062207045,0.0021710338,0.000878284
1.65,2.9882855,469.9995,-1.807748,466.58588,-1.8035479,466.05142,0.002871285,0.00022653381,0.002965259,0.0001567131,0.002752156,0.00030758517
1.66,2.9129162,469.9995,-1.8081833,466.58588,-1.8039801,466.05142,0.0036025734,0.0005885636,0.0036504618,0.0005351143,0.0035446049,0.0006624483
1.67,2.8531675,470.05017,-1.8089253,466.63654,-1.804718,466.10196,0.0033793573,0.0014755491,0.0034425044,0.0014297372,0.0033643309,0.0015446532
1.68,2.891148,470.05017,-1.8086977,466.63654,-1.8044953,466.10196,0.002502372,0.0015329238,0.0026473687,0.0014676155,0.0025870379,0.0015978665
1.69,2.9758475,470.11447,-1.8087467,466.69653,-1.804541,466.16193,0.0022086124,0.0007021462,0.0022761542,0.0006145396,0.002201484,0.00076882663
1.7,2.9893024,470.05524,-1.808272,466.6315,-1.804071,466.09692,0.0028819554,0.00021586877,0.0028621815,0.00014612709,0.002762467,0.00029717432
1.71,2.9130182,470.05524,-1.8083639,466.6315,-1.8041602,466.09692,0.0035667806,0.00056798186,0.0036605634,0.00051464135,0.003554274,0.0006421193
